Dates,Type,Price,Size
10:30:00,TRADE,5557,1
10:30:00,BID,5558,2
10:30:00,ASK,5562,2
10:30:00,BID,5569,2
10:30:00,ASK,5576,1
10:30:01,ASK,5576,2
10:30:01,BID,5570,2
10:30:01,BID,5569,2
10:30:01,BID,5569,10
10:30:01,BID,5569,2
10:30:01,ASK,5575,1
10:30:01,ASK,5576,1
10:30:01,ASK,5574,1
10:30:01,ASK,5576,1
10:30:01,ASK,5575,1
10:30:02,BID,5569,3
10:30:02,ASK,5573,1
10:30:02,ASK,5575,1
10:30:02,ASK,5576,1
10:30:02,BID,5570,1
10:30:02,BID,5571,1
10:30:02,ASK,5577,1
10:30:02,BID,5570,1
10:30:02,BID,5569,3
10:30:02,BID,5571,1
10:30:02,BID,5572,1
10:30:02,ASK,5576,2
10:30:02,BID,5571,1
10:30:02,BID,5572,1
10:30:02,ASK,5576,1
10:30:02,ASK,5577,1
10:30:02,ASK,5576,2
10:30:03,BID,5571,1
10:30:03,ASK,5575,9
10:30:03,BID,5570,1
10:30:03,BID,5569,3
10:30:03,ASK,5574,1
10:30:03,ASK,5575,9
10:30:03,ASK,5574,1
10:30:03,ASK,5574,2
10:30:03,ASK,5574,1
10:30:03,ASK,5574,2
10:30:03,ASK,5574,4
10:30:03,TRADE,5556,1
10:30:03,ASK,5574,3
10:30:03,ASK,5574,2
10:30:04,ASK,5574,1
10:30:04,TRADE,5569,1
10:30:04,BID,5569,2
10:30:04,ASK,5575,15
10:30:04,ASK,5574,1
10:30:05,ASK,5575,15
10:30:05,BID,5570,1
10:30:05,ASK,5574,8
10:30:05,BID,5569,2
10:30:05,ASK,5573,1
10:30:05,ASK,5574,9
10:30:05,ASK,5573,1
10:30:05,ASK,5573,2
10:30:05,ASK,5573,10
10:30:05,BID,5570,1
10:30:05,BID,5570,2
10:30:06,BID,5569,2
10:30:06,BID,5569,3
10:30:06,BID,5570,1
10:30:06,ASK,5573,11
10:30:06,BID,5569,7
10:30:06,ASK,5573,10
10:30:06,ASK,5573,9
10:30:06,BID,5569,6
10:30:07,BID,5570,4
10:30:07,ASK,5572,1
10:30:07,ASK,5572,9
10:30:07,ASK,5572,1
10:30:07,ASK,5572,2
10:30:07,BID,5570,2
10:30:08,ASK,5572,10
10:30:08,BID,5570,1
10:30:09,BID,5571,1
10:30:09,TRADE,5571,1
10:30:09,BID,5570,8
10:30:09,BID,5570,7
10:30:09,BID,5570,1
10:30:09,BID,5570,7
10:30:10,BID,5570,9
10:30:11,ASK,5572,12
10:30:13,BID,5570,8
10:30:13,BID,5571,2
10:30:13,TRADE,5571,2
10:30:13,BID,5570,8
10:30:13,TRADE,5572,2
10:30:13,BID,5570,6
10:30:13,ASK,5572,10
10:30:13,BID,5570,5
10:30:13,TRADE,5572,1
10:30:13,BID,5570,4
10:30:13,ASK,5572,9
10:30:14,BID,5571,2
10:30:14,BID,5571,1
10:30:14,BID,5571,2
10:30:14,TRADE,5572,2
10:30:14,BID,5570,8
10:30:14,ASK,5572,7
10:30:14,BID,5570,7
10:30:14,BID,5570,2
10:30:15,BID,5570,7
10:30:15,BID,5570,5
10:30:15,ASK,5572,5
10:30:15,ASK,5571,2
10:30:15,ASK,5571,7
10:30:15,TRADE,5571,1
10:30:15,BID,5570,4
10:30:15,ASK,5571,6
10:30:15,ASK,5571,5
10:30:15,TRADE,5571,1
10:30:15,BID,5570,3
10:30:15,ASK,5571,4
10:30:15,ASK,5571,3
10:30:15,ASK,5571,4
10:30:15,BID,5570,1
10:30:16,ASK,5571,5
10:30:16,TRADE,5570,1
10:30:16,BID,5569,7
10:30:16,ASK,5571,4
10:30:16,BID,5569,6
10:30:16,ASK,5571,3
10:30:16,TRADE,5571,1
10:30:16,BID,5569,5
10:30:16,ASK,5571,2
10:30:16,BID,5569,6
10:30:16,BID,5570,5
10:30:16,TRADE,5571,2
10:30:16,BID,5570,3
10:30:16,ASK,5572,2
10:30:16,ASK,5572,3
10:30:16,BID,5570,1
10:30:16,BID,5571,2
10:30:16,ASK,5572,4
10:30:16,ASK,5572,3
10:30:16,ASK,5572,2
10:30:16,ASK,5572,1
10:30:16,TRADE,5571,2
10:30:16,BID,5569,3
10:30:16,BID,5569,7
10:30:17,ASK,5573,3
10:30:17,ASK,5573,1
10:30:17,ASK,5573,2
10:30:17,BID,5570,5
10:30:18,ASK,5573,1
10:30:18,ASK,5574,6
10:30:18,ASK,5573,1
10:30:18,ASK,5573,2
10:30:18,ASK,5572,1
10:30:19,ASK,5572,2
10:30:20,ASK,5572,1
10:30:21,ASK,5572,2
10:30:22,BID,5569,4
10:30:22,ASK,5573,1
10:30:22,BID,5569,3
10:30:22,BID,5569,4
10:30:22,ASK,5574,9
10:30:22,ASK,5574,8
10:30:23,ASK,5573,1
10:30:23,ASK,5573,2
10:30:23,ASK,5573,1
10:30:23,BID,5569,2
10:30:23,ASK,5573,2
10:30:23,BID,5570,1
10:30:23,BID,5570,2
10:30:24,ASK,5573,1
10:30:24,BID,5571,2
10:30:25,BID,5571,1
10:30:25,BID,5571,2
10:30:25,BID,5571,1
10:30:27,TRADE,5573,1
10:30:27,ASK,5575,19
10:30:27,ASK,5575,20
10:30:27,ASK,5574,3
10:30:27,ASK,5574,4
10:30:27,ASK,5574,5
10:30:27,ASK,5574,6
10:30:27,ASK,5574,7
10:30:27,BID,5570,5
10:30:27,ASK,5573,1
10:30:27,ASK,5574,6
10:30:27,BID,5571,1
10:30:27,ASK,5574,5
10:30:27,BID,5571,3
10:30:27,ASK,5573,1
10:30:27,BID,5570,5
10:30:27,ASK,5573,2
10:30:27,ASK,5573,1
10:30:27,BID,5571,1
10:30:27,BID,5571,3
10:30:27,BID,5571,2
10:30:28,BID,5571,3
10:30:31,BID,5572,4
10:30:31,BID,5572,3
10:30:32,TRADE,5573,1
10:30:32,ASK,5581,4
10:30:32,BID,5573,1
10:30:32,BID,5575,1
10:30:32,ASK,5581,1
10:30:32,BID,5576,1
10:30:32,BID,5578,1
10:30:32,ASK,5582,10
10:30:32,BID,5579,1
10:30:32,ASK,5582,9
10:30:32,ASK,5582,8
10:30:32,ASK,5582,1
10:30:32,BID,5580,1
10:30:32,BID,5581,1
10:30:32,TRADE,5582,1
10:30:32,BID,5580,1
10:30:32,BID,5579,1
10:30:32,BID,5578,1
10:30:32,ASK,5581,1
10:30:32,ASK,5581,6
10:30:32,ASK,5581,7
10:30:32,BID,5576,1
10:30:32,BID,5575,1
10:30:32,BID,5573,1
10:30:32,BID,5572,1
10:30:32,ASK,5580,1
10:30:32,BID,5573,1
10:30:32,ASK,5581,7
10:30:32,ASK,5580,1
10:30:32,ASK,5581,7
10:30:32,ASK,5581,8
10:30:32,ASK,5581,7
10:30:32,ASK,5580,1
10:30:32,ASK,5580,2
10:30:32,ASK,5579,1
10:30:33,ASK,5580,2
10:30:33,ASK,5580,1
10:30:33,ASK,5580,2
10:30:33,ASK,5580,1
10:30:33,ASK,5579,1
10:30:33,ASK,5579,2
10:30:33,ASK,5579,1
10:30:34,BID,5572,1
10:30:34,ASK,5578,1
10:30:34,ASK,5579,2
10:30:34,BID,5571,2
10:30:34,ASK,5577,1
10:30:34,ASK,5576,1
10:30:34,ASK,5575,1
10:30:34,ASK,5576,1
10:30:34,BID,5570,1
10:30:34,ASK,5571,1
10:30:34,BID,5571,2
10:30:34,ASK,5576,1
10:30:34,BID,5570,1
10:30:34,ASK,5571,1
10:30:34,BID,5571,2
10:30:34,ASK,5577,1
10:30:34,BID,5570,1
10:30:34,ASK,5571,1
10:30:34,BID,5571,2
